[Qibo 0.2.12|INFO|2024-09-25 20:11:47]: Loading platform dummy
2024-09-25 20:11:47,916 - qm - INFO     - Starting session: aaa4900e-73b4-4293-8c43-e5f711fd2d28
2024-09-25 20:11:50,614 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 20:11:51,641 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 20:11:52,662 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 20:11:53,729 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 20:11:54,453 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 20:11:54,453 - qm - INFO     - Performing health check
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:11:54,474 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 20:11:57,209 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:11:57,388 - qm - INFO     - Executing program
2024-09-25 20:12:10,261 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:12:10,512 - qm - INFO     - Executing program
