[Qibo 0.2.12|INFO|2024-09-25 20:17:45]: Loading platform dummy
2024-09-25 20:17:46,375 - qm - INFO     - Starting session: 9a2396ae-798e-40ce-aa71-51891f946428
2024-09-25 20:17:48,776 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 20:17:49,518 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 20:17:50,423 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 20:17:51,486 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 20:17:52,450 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 20:17:52,450 - qm - INFO     - Performing health check
2024-09-25 20:17:52,468 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,468 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,468 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,468 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,469 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,469 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,469 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,469 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,469 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:17:52,469 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.17s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 20:17:54,866 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:17:54,996 - qm - INFO     - Executing program
2024-09-25 20:18:07,601 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:18:07,837 - qm - INFO     - Executing program
