[Qibo 0.2.12|INFO|2024-09-25 20:23:25]: Loading platform dummy
2024-09-25 20:23:25,773 - qm - INFO     - Starting session: f45589ad-4c06-4d02-8b2f-622f8e1f13bf
2024-09-25 20:23:28,191 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 20:23:28,927 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 20:23:29,839 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 20:23:31,044 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 20:23:31,769 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 20:23:31,769 - qm - INFO     - Performing health check
2024-09-25 20:23:31,788 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,788 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,788 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,788 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,788 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,789 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,789 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,789 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,789 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:23:31,789 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-09-25 20:23:34,468 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:23:34,688 - qm - INFO     - Executing program
2024-09-25 20:23:47,390 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:23:47,651 - qm - INFO     - Executing program
