[Qibo 0.2.12|INFO|2024-09-25 20:29:04]: Loading platform dummy
2024-09-25 20:29:05,069 - qm - INFO     - Starting session: c9a60f3e-6a51-4c73-9b4b-14e8642daa8d
2024-09-25 20:29:07,485 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 20:29:08,378 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 20:29:09,326 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 20:29:10,774 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 20:29:11,780 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 20:29:11,780 - qm - INFO     - Performing health check
2024-09-25 20:29:11,799 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,799 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,799 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,799 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,799 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,800 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,800 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,800 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,800 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:29:11,800 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-09-25 20:29:14,587 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:29:14,783 - qm - INFO     - Executing program
2024-09-25 20:29:27,442 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:29:27,694 - qm - INFO     - Executing program
