[Qibo 0.2.12|INFO|2024-09-25 20:33:42]: Loading platform dummy
2024-09-25 20:33:43,307 - qm - INFO     - Starting session: 663fb608-a99a-4a9d-bbc5-ca8a2b981b77
2024-09-25 20:33:45,993 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-09-25 20:33:47,010 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-09-25 20:33:48,430 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-09-25 20:33:49,492 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-09-25 20:33:50,215 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-09-25 20:33:50,215 - qm - INFO     - Performing health check
2024-09-25 20:33:50,236 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-09-25 20:33:50,237 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.15s
2024-09-25 20:33:52,477 - qm - INFO     - Sending program to QOP for compilation
2024-09-25 20:33:52,609 - qm - INFO     - Executing program
